   3.000000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.010000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.020000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.030000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.040000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.050000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.060000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.070000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.080000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.090000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.100000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.110000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.120000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.130000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.140000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.150000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.160000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.170000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.180000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.190000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.200000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.210000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.220000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.230000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.240000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.250000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.260000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.270000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.280000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.290000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.300000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.310000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.320000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.330000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.340000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.350000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.360000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.370000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.380000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.390000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.400000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.410000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.420000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.430000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.440000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.450000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.460000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.470000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.480000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.490000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.500000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.510000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.520000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.530000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.540000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.550000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.560000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.570000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.580000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.590000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.600000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.610000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.620000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.630000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.640000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.650000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.660000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.670000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.680000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.690000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.700000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.710000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.720000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.730000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.740000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.750000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   3.760000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
